elapsed_ms,yaw,roll,pitch
328949,0.670653462,-0.0503670946,-0.139341578
329048,0.670653462,-0.0503670946,-0.139341578
329149,0.670607328,-0.0501825958,-0.139797747
329249,0.670845091,-0.0497366972,-0.139343604
329349,0.670696735,-0.0505521409,-0.138990209
329450,0.67088294,-0.0497608483,-0.139580801
329550,0.671158075,-0.0491414629,-0.141450599
329650,0.671325386,-0.0489258133,-0.14123553
329750,0.67131567,-0.0495140105,-0.139607891
329850,0.671650469,-0.0490731858,-0.139958963
329951,0.671154082,-0.049732402,-0.140039057
330051,0.671845913,-0.0476663746,-0.142134681
330151,0.671113074,-0.0494910479,-0.141176403
330251,0.67260617,-0.0462248139,-0.141350225
330352,0.67075634,-0.0516916998,-0.138159573
330451,0.671822071,-0.0480776727,-0.142361835
330552,0.671639442,-0.0491201505,-0.140619278
330652,0.67023927,-0.0541711375,-0.134248465
330752,0.6711303,-0.0499878749,-0.140808538
330853,0.671334267,-0.0482226685,-0.143581137
330953,0.671017051,-0.0503263548,-0.139600471
331053,0.671504855,-0.0499714762,-0.139492035
331153,0.670979798,-0.0506493784,-0.139800072
331254,0.671569765,-0.0485965908,-0.142273664
331354,0.671530008,-0.0483202711,-0.14339669
331454,0.672678292,-0.0472807735,-0.141053721
331554,0.671222508,-0.0512682162,-0.138299748
331654,0.672111988,-0.0476502851,-0.143214211
331755,0.671432495,-0.0493718795,-0.141925722
331855,0.6722157,-0.0477967411,-0.142231613
331955,0.671396494,-0.0494444296,-0.140851051
332055,0.672760844,-0.0474826731,-0.140593067
332155,0.676858664,-0.0508944355,-0.139630526
332256,0.676983476,-0.0493945926,-0.141374364
332356,0.676947653,-0.0497350171,-0.140029803
332456,0.6769526,-0.0499397069,-0.13888298
332556,0.677322209,-0.0502448939,-0.141408727
332657,0.678091049,-0.0493335761,-0.139636084
332757,0.67716074,-0.0516454615,-0.137987033
332857,0.678140998,-0.0481545739,-0.141058162
332958,0.677687287,-0.0499155261,-0.139456585
333058,0.678013921,-0.0487284586,-0.140630901
333157,0.677944362,-0.0495554842,-0.140103579
333259,0.677969575,-0.0493765399,-0.139530852
333359,0.67774123,-0.0497039258,-0.139443651
333459,0.677940726,-0.049144797,-0.139863729
333559,0.677570701,-0.0501779057,-0.139784962
333659,0.677773714,-0.0500947945,-0.139031887
333759,0.677492678,-0.0503730737,-0.139321566
333859,0.677978158,-0.0488618091,-0.139898077
333960,0.678107381,-0.0491395332,-0.139813408
334060,0.677754641,-0.0501142405,-0.139352217
334160,0.678042531,-0.0492486767,-0.13987717
334261,0.677843809,-0.0494432114,-0.140531212
334361,0.67841351,-0.0482099317,-0.140568078
334461,0.678015053,-0.0496021621,-0.139476597
334561,0.67828691,-0.0476255082,-0.141369209
334661,0.677770078,-0.0503036492,-0.13875252
334761,0.678032637,-0.0493667647,-0.140043855
334862,0.677862525,-0.0496740006,-0.139693677
334962,0.678560138,-0.0477210134,-0.141012996
335063,0.677722871,-0.0502543934,-0.138432026
335162,0.678170681,-0.0491511412,-0.140119135
335262,0.677890301,-0.0494972207,-0.139931202
335363,0.678061008,-0.049086865,-0.140722185
335464,0.677974582,-0.0494933464,-0.140009224
335564,0.678252995,-0.0488821119,-0.140259653
335664,0.677907467,-0.0492923819,-0.140356869
335764,0.678235531,-0.0484280623,-0.140978441
335864,0.678153276,-0.0495147854,-0.139689639
335965,0.67788887,-0.0499055721,-0.140005007
336064,0.678046703,-0.0495002195,-0.140176758
336165,0.678312957,-0.0486300588,-0.14156118
336266,0.677961409,-0.049551405,-0.140426517
336365,0.677781224,-0.0498608425,-0.140318573
336466,0.678053975,-0.0491878241,-0.140800416
336566,0.678011298,-0.0495333821,-0.14007856
336666,0.678016067,-0.0494791865,-0.139887482
336766,0.677943766,-0.0495329425,-0.139910251
336867,0.678114116,-0.049445603,-0.140181065
336967,0.678099632,-0.0491264686,-0.140023082
337068,0.678196907,-0.0491621196,-0.140151516
337167,0.678133726,-0.0492603779,-0.139311761
337268,0.67814815,-0.0493928082,-0.139049515
337367,0.678226054,-0.049467802,-0.138831168
337468,0.67795074,-0.0498976968,-0.138598934
337569,0.678084373,-0.0495417081,-0.138762593
337668,0.678114891,-0.0497555323,-0.138728961
337769,0.677475274,-0.0507682823,-0.138331756
337870,0.678474665,-0.0478784218,-0.140708357
337969,0.677416563,-0.0503941923,-0.140409753
338070,0.678620219,-0.0479974523,-0.139713183
338170,0.677814186,-0.0507759638,-0.137633845
338270,0.678176939,-0.0488838106,-0.139481038
338370,0.67818898,-0.0491756462,-0.139858395
338471,0.678013682,-0.0497362427,-0.138871729
338570,0.678550363,-0.0483659618,-0.139585376
338670,0.678012133,-0.0495638512,-0.139268681
338772,0.678700209,-0.0484437458,-0.138814554
338871,0.677742064,-0.0508495457,-0.138750151
338972,0.67874068,-0.047975719,-0.140102148
339072,0.678146601,-0.0500909612,-0.137661248
339172,0.678865075,-0.0481640846,-0.13862367
