elapsed_ms,sample,label,self,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
5972,14,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
6083,15,tracked_1690,0000000146dfea50,0.999269366,0.00354333408,0.0380566865,1,-0.00369266211,0.999985754,0.0038542652,1,-0.0380425006,-0.00399197917,0.999268174,1,0.0250147637,1.13568187,-0.0344882011,1
6083,15,copied_2700,0000000146dfea50,0.999269366,0.00354333408,0.0380566865,1,-0.00369266211,0.999985754,0.0038542652,1,-0.0380425006,-0.00399197917,0.999268174,1,0.0250147637,1.13568187,-0.0344882011,1
6083,15,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
6183,16,tracked_1690,0000000146dfea50,0.997450709,0.0504796728,0.0504409224,1,-0.0491644889,0.998426139,-0.0269837566,1,-0.051723659,0.0244350675,0.99836266,1,0.0205077175,1.13374627,-0.0381882042,1
6183,16,copied_2700,0000000146dfea50,0.997450709,0.0504796728,0.0504409224,1,-0.0491644889,0.998426139,-0.0269837566,1,-0.051723659,0.0244350675,0.99836266,1,0.0205077175,1.13374627,-0.0381882042,1
6183,16,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
6283,17,tracked_1690,0000000146dfea50,0.99731487,0.0541802458,0.0492718667,1,-0.0513152778,0.99701649,-0.0576621294,1,-0.0522490293,0.0549788959,0.997119665,1,0.0179712959,1.13026607,-0.0382721722,1
6283,17,copied_2700,0000000146dfea50,0.99731487,0.0541802458,0.0492718667,1,-0.0513152778,0.99701649,-0.0576621294,1,-0.0522490293,0.0549788959,0.997119665,1,0.0179712959,1.13026607,-0.0382721722,1
6283,17,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
6383,18,tracked_1690,0000000146dfea50,0.998892605,0.0442743674,0.0159235448,1,-0.0431665331,0.997000694,-0.0642355755,1,-0.0187197775,0.0634770766,0.99780786,1,0.0164057147,1.12974787,-0.0362234712,1
6383,18,copied_2700,0000000146dfea50,0.998892605,0.0442743674,0.0159235448,1,-0.0431665331,0.997000694,-0.0642355755,1,-0.0187197775,0.0634770766,0.99780786,1,0.0164057147,1.12974787,-0.0362234712,1
6383,18,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
6483,19,tracked_1690,0000000146dfea50,0.99899435,0.00584765989,0.0444559306,1,-0.00624791998,0.99994117,0.00886991713,1,-0.0444014519,-0.00913875271,0.998972118,1,0.0199301373,1.1351006,-0.0363706648,1
6483,19,copied_2700,0000000146dfea50,0.99899435,0.00584765989,0.0444559306,1,-0.00624791998,0.99994117,0.00886991713,1,-0.0444014519,-0.00913875271,0.998972118,1,0.0199301373,1.1351006,-0.0363706648,1
6483,19,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
6583,20,tracked_1690,0000000146dfea50,0.999140501,0.0273456629,0.03115426,1,-0.0331463926,0.978350759,0.204281822,1,-0.0248935968,-0.205138877,0.978416264,1,0.0187798254,1.15115607,-0.040200457,1
6583,20,copied_2700,0000000146dfea50,0.999140501,0.0273456629,0.03115426,1,-0.0331463926,0.978350759,0.204281822,1,-0.0248935968,-0.205138877,0.978416264,1,0.0187798254,1.15115607,-0.040200457,1
