elapsed_ms,sample,label,self,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
49692,57,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.659009933,0.372335464,0.653507829,0,0.249855131,0.927902222,-0.276712716,0,-0.709421217,-0.0190741196,-0.704526603,0,-488.123962,-386.820618,425.536926,0.163967431
49792,58,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.671232641,0.38312614,0.634555876,0,0.254550189,0.923146427,-0.288105696,0,-0.69616878,-0.031859614,-0.717170835,0,-487.549286,-386.785034,426.101227,0.163967431
49892,59,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.697013319,0.389634907,0.601961076,0,0.265673697,0.92006731,-0.287912667,0,-0.666025579,-0.0407537073,-0.744814873,0,-487.049957,-386.750214,426.604187,0.163967431
49993,60,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.680199862,0.35295555,0.642456651,0,0.229940966,0.934945047,-0.270194471,0,-0.696028292,-0.0360591263,-0.717108369,0,-486.423248,-386.703308,427.235718,0.163967431
50093,61,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.673560441,0.385314524,0.630752861,0,0.252986073,0.922009289,-0.29308182,0,-0.694488645,-0.0378365964,-0.718508124,0,-485.864136,-386.661041,427.80246,0.163967431
50193,62,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.664662957,0.393137127,0.635347426,0,0.24796553,0.918242335,-0.308778524,0,-0.704795182,-0.0476893857,-0.707806051,0,-485.339935,-386.433624,428.32486,0.163967431
50293,63,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.754375398,0.3873671,0.529966652,0,0.246963024,0.915492177,-0.31762132,0,-0.608216345,-0.108723506,-0.78628999,0,-484.805634,-386.181458,428.876617,0.163967431
50393,64,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.929871798,0.318851054,0.183500737,0,0.244051129,0.907889664,-0.340845048,0,-0.275277197,-0.272158623,-0.922036946,0,-484.329987,-385.905365,429.472137,0.163967431
50494,65,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.965926826,0.187481239,-0.178426951,0,0.24073647,0.903961837,-0.353410304,0,0.0950333923,-0.384322375,-0.918294609,0,-483.999939,-385.587677,430.177032,0.163967431
50595,66,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.967296124,0.176922858,-0.181759313,0,0.231919423,0.907088399,-0.351289153,0,0.102720715,-0.381954134,-0.918455064,0,-483.874878,-385.363892,430.869202,0.163967431
50695,67,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.967552602,0.167160213,-0.189471319,0,0.224936664,0.911414504,-0.344568342,0,0.115088768,-0.376006991,-0.919441819,0,-483.883301,-385.201965,431.686157,0.163967431
50806,68,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.966257989,0.162132323,-0.200146586,0,0.223928005,0.91274935,-0.341679782,0,0.12728633,-0.374969184,-0.918257236,0,-484.014008,-385.080994,432.683716,0.163967431
50917,69,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.962230206,0.148508072,-0.228163689,0,0.220980301,0.915569365,-0.336006612,0,0.159000009,-0.373735338,-0.913805783,0,-484.188507,-384.968079,433.583405,0.163967431
51017,70,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.847798049,-0.00115211681,-0.530317903,0,0.22845313,0.901659489,-0.367177695,0,0.478589207,-0.432445318,-0.764161944,0,-484.365967,-384.661499,434.299377,0.163967431
51118,71,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.847558379,0.00387827866,-0.530687988,0,0.242499277,0.892303646,-0.380773097,0,0.472058177,-0.451418936,-0.757220149,0,-484.623138,-384.316833,434.989929,0.163967431
51228,72,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.848749042,0.00606061332,-0.528761208,0,0.247737914,0.887965739,-0.387482435,0,0.467173487,-0.459869564,-0.755161524,0,-484.987579,-383.927887,435.71344,0.163967431
51328,73,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.761253238,-0.0647066832,-0.645218253,0,0.260535002,0.880646527,-0.395706117,0,0.593814015,-0.469334453,-0.653536618,0,-485.357727,-383.573334,436.343445,0.163967431
51429,74,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.74009645,-0.0741484389,-0.668400526,0,0.272013038,0.87596488,-0.398364872,0,0.615033448,-0.476642042,-0.628129065,0,-485.764252,-383.217773,436.933929,0.163967431
51529,75,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.750042081,-0.0629310906,-0.65838927,0,0.276325881,0.874602497,-0.398390025,0,0.600899994,-0.480739236,-0.638599217,0,-486.178284,-382.850922,437.517303,0.163967431
51629,76,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.753578603,-0.0551242866,-0.65504241,0,0.283733934,0.871598721,-0.399763554,0,0.592970729,-0.487111002,-0.641177475,0,-486.497406,-382.44873,438.162354,0.163967431
